"OBJECTID","LEA_SCHOOL","PTMOVED","COMMENTS","REVIEWED","SCHOOL_NAM","PRINCIPAL","STREET_LON","PHYS_ADDR","PHYS_CITY","PHYS_ZIP","PHONE","MAIL_ADDR","MAIL_CITY","MAIL_ZIP","FAX","URL_ADDRES","COUNTY","ACCR_STAT","SCH_DESG","SCH_TYPE","SCH_PTYPE","SCH_CTYPE","EXT_HOURS","NUM_TEACH","BGN_GRADE","END_GRADE","PRE_K","ELEM","MIDDLE","HIGH","EARLY_COLL","coords.x1","coords.x2"
543,"990336",NA,NA,NA,"Yadkinville Elementary","James Sheek","305 North State Street","305 North State Street","Yadkinville",27055,"3366798921","305 North State Street","Yadkinville",27055,"3366792909","http://www.yadkin.k12.nc.us/schools/yes/index.html","Yadkin","SA","Public","Regular School","None","Traditional","-",42,"PK","06","yes","yes",NA,NA,NA,460084.249899998,266058.781300001
544,"995304",NA,"point verified","1","Bald Creek Elementary","Sherry Robinson","100 Bald Creek School Road","100 Bald Creek School Road","Burnsville",28714,"8286822535","100 Bald Creek School Road","Burnsville",28714,"8286823575","http://www.bces.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",12,"KG","05",NA,"yes",NA,NA,NA,300665.562399998,245244.390700001
545,"995308",NA,"point verified","1","Bee Log Elementary","Andrea Allen","55 Bee Log Road","55 Bee Log Road","Burnsville",28714,"8286823271","55 Bee Log Road","Burnsville",28714,"8286823790","http://www.bles.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",4,"KG","05",NA,"yes",NA,NA,NA,302311.531499997,252999.406399999
546,"995312",NA,"point verified","1","Burnsville Elementary","William Cassida","395 Burnsville School Road","395 Burnsville School Road","Burnsville",28714,"8286824515","395 Burnsville School Road","Burnsville",28714,"8286823566","http://www.bes.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",24,"KG","05",NA,"yes",NA,NA,NA,315432.093699999,245237.859499998
547,"995324",NA,"point verified","1","East Yancey Middle","Ricky Tipton","285 Georges Fork Road","285 Georges Fork Road","Burnsville",28714,"8286822281","285 Georges Fork Road","Burnsville",28714,"8286823513","http://www.eyms.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",22,"06","08",NA,NA,"yes",NA,NA,315584.343699999,244579.203000002
548,"995316",NA,"point verified","1","Cane River Middle","Alton Robinson","1128 Cane River School Road","1128 Cane River School Road","Burnsville",28714,"8286822202","1128 Cane River School Road","Burnsville",28714,"8286823754","http://www.crms.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",22,"06","08",NA,NA,"yes",NA,NA,304759.843599997,245051.093600001
549,"995330",NA,"point verified","1","Mountain Heritage High","Kevin Huskins","333 Mtn Heritage HS Road","333 Mtn Heritage HS Road","Burnsville",28714,"8286826103","PO Box 70","Burnsville",28714,"8286824287","http://www.mhhs.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","1",57,"09","12",NA,NA,NA,"yes",NA,308784.374899998,244471.390799999
550,"995320",NA,"point verified","1","Clearmont Elementary","Angie Anglin","1175 Clearmont School Road","1175 Clearmont School Road","Burnsville",28714,"8286822337","1175 Clearmont School Road","Burnsville",28714,"8286823656","http://www.ces.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",8,"KG","05",NA,"yes",NA,NA,NA,312287,251884.859200001
551,"995328",NA,"point verified","1","Micaville Elementary","Michele Laws","112 Hwy 80 South","112 State Hwy 80 South","Burnsville",28714,"8286754161","PO Box 122","Micaville",28755,"8286750370","http://www.mes.yanceync.net/?sessionid=a9f1d0e6ab","Yancey","SA","Public","Regular School","None","Traditional","-",13,"KG","05",NA,"yes",NA,NA,NA,319332.562600002,243792.531199999
552,"995336",NA,"point verified","1","South Toe Elementary","Doris Deyton","139 South Toe School Rd","139 South Toe School Rd","Burnsville",28714,"8286754321","139 South Toe School Rd","Burnsville",28714,"8286750098","http://www.stes.yanceync.net/","Yancey","SA","Public","Regular School","None","Traditional","-",8,"KG","05",NA,"yes",NA,NA,NA,321645.25,236505.9844
553,"60310",NA,"point verified","1","Cranberry Middle","Matthew Bentley","6230 North Highway 19E","6230 North Highway 19E","Elk Park",28622,"8287332932","PO Box 38","Elk Park",28622,"8287336863","http://www.averyschools.net/schools/cms.aspx","Avery","SA","Public","Regular School","None","Traditional","-",13,"06","08",NA,NA,"yes",NA,NA,343065.624899998,270265.093699999
554,"60318",NA,"point verified","1","Avery Middle","Ricky Ward","102 Montezuma Road","102 Montezuma Road","Newland",28657,"8287330145","PO Box 729","Newland",28657,"8287333506","http://www.averyschools.net/schools/ams.aspx","Avery","SA","Public","Regular School","None","Traditional","-",16,"06","08",NA,NA,"yes",NA,NA,346908.437299997,260927
555,"130323",NA,"point verified","1","Mount Pleasant Middle","Danah Wilson","8325 Hwy 49 N","8325 Hwy 49 N","Mount Pleasant",28124,"7044369302","8325 Hwy 49 N","Mount Pleasant",28124,"7044366112","http://www.cabarrus.k12.nc.us/mpm/","Cabarrus",NA,"Public","Regular School","None","Traditional","-",45,"06","08",NA,NA,"yes",NA,NA,479139.625100002,185425.906199999
556,"130317",NA,"point verified","1","Cabarrus Co Opportunity Sch","Beverly Mack","120 Marsh Avenue NW","120 Marsh Avenue NW","Concord",28025,"7047931736","120 Marsh Avenue NW","Concord",28025,"7047931740",NA,"Cabarrus",NA,"Public","Alternative Education","None","Traditional","-",22,"06","12",NA,NA,"yes","yes",NA,464892.406300001,183261.656199999
557,"132308","yes, 2012","across the street","1","Forest Park Elementary","Melia Neale","1333 Forest Park Drive","1333 Forest Park Drive","Kannapolis",28083,"7049328121","1333 Forest Park Drive","Kannapolis",28083,"7049324889","http://www.kannapolis.k12.nc.us/ForestPark/fpark.","Cabarrus","SA","Public","Regular School","None","Traditional","-",45,"KG","04",NA,"yes",NA,NA,NA,464059.8292,193004.214000002
558,"180324","yes, 2012","down the street",NA,"Catawba Elementary School","Vermel Moore","5415 Hudson Chapel Road","5415 Hudson Chapel Road","Catawba",28609,"8282413131","5415 Hudson Chapel Road","Catawba",28609,"8282412332","http://www.catawbaschools.net/schools/Catawba/def","Catawba","SA","Public","Regular School","None","Traditional","-",29,"PK","06","yes","yes",NA,NA,NA,421976.7795,217962.354200002
559,"230328",NA,"point verified","1","Crest Middle","Amy Jones","315 Beaverdam Church Road","315 Beaverdam Church Road","Shelby",28150,"7044820343","315 Beaverdam Church Road","Shelby",28150,"7044870378","http://www.clevelandcountyschools.org","Cleveland","SA","Public","Regular School","None","Traditional","-",64,"06","08",NA,NA,"yes",NA,NA,371394.687299997,172545.484299999
560,"230340",NA,NA,NA,"Fallston Elementary","Mary Frye","112 Gary Street","112 Gary Street","Fallston",28042,"7045387341","PO Box 39","Fallston",28042,"7045385347","http://www.clevelandcountyschools.org","Cleveland","SA","Public","Regular School","None","Traditional","-",36,"PK","05","yes","yes",NA,NA,NA,382639.749899998,188818.781199999
561,"260306",NA,"point verified","1","Armstrong Elementary","Rhonda McNatt","3395 Dunn Road","3395 Dunn Road","Eastover",28312,"9104832425","3395 Dunn Road","Fayetteville",28301,"9104831842","http://www.aes.ccs.k12.nc.us/","Cumberland","SA","Public","Regular School","None","Traditional","-",28,"PK","05","yes","yes",NA,NA,NA,628665.187600002,148883.905999999
562,"260430",NA,NA,NA,"Stedman Elementary","Stanley Douglas","7370 Clinton Road Hwy 24","7370 Clinton Road Hwy 24","Stedman",28391,"9104833886","7370 Clinton Road Hwy 24","Stedman",28391,"9104830519","http://www.ses.ccs.k12.nc.us","Cumberland","SA","Public","Regular School","None","Traditional","-",24,"02","05",NA,"yes",NA,NA,NA,637310.250200003,140225.140700001
563,"280302",NA,"point verified","1","Cape Hatteras Elementary","Sherry Couch","47500 Middle Ridge","47500 Middle Ridge","Buxton",27920,"2529956196","PO Box 989","Buxton",27920,"2529954719","http://che.darecountyschoolsonline.com/","Dare","SA","Public","Regular School","None","Traditional","-",13,"PK","05","yes","yes",NA,NA,NA,923283.000100002,173542.578200001
564,"290348",NA,"point verified","1","North Davidson High","Emily Lipe","7227 Old US Hwy 52","7227 Old US Hwy 52","Lexington",27295,"3367318431","7227 Old US Hwy 52","Lexington",27295,"3367312642","http://www.davidson.k12.nc.us/ndhs/index.htm","Davidson","SA","Public","Regular School","None","Traditional","-",75,"09","12",NA,NA,NA,"yes",NA,497086.031300001,241911.890700001
565,"291340",NA,NA,NA,"Pickett Elementary School","Gina Spencer","200 Biesecker Road","200 Biesecker Road","Lexington",27292,"3362421546","200 Biesecker Road","Lexington",27292,"3362493969","http://www.lexcs.org/","Davidson","SA","Public","Regular School","None","Traditional","-",27,"01","05",NA,"yes",NA,NA,NA,495384.218699999,233227.594000001
566,"310360",NA,NA,NA,"North Duplin Elementary","Ben Sautter","157 North Duplin School Road","157 North Duplin School Road","Mt. Olive",28365,"9196582931","157 North Duplin School Road","Mt. Olive",28365,"9196582983","http://www.duplinschools.net/schools/ndes","Duplin","SA","Public","Regular School","None","Traditional","-",41,"PK","06","yes","yes",NA,NA,NA,693023.500100002,154122.656100001
567,"310364",NA,NA,NA,"North Duplin Jr Sr High","Debra Hunter","1388 West NC 403 Highway","1388 West NC 403 Highway","Mt. Olive",28365,"9196583051","1388 West NC 403 Highway","Mt. Olive",28365,"9196589971","http://www.duplinschools/schools.net/ndjs","Duplin","SA","Public","Regular School","None","Traditional","-",37,"07","12",NA,NA,"yes","yes",NA,692880.187600002,153908.0627
568,"310304",NA,"point verified","1","B F Grady Elementary","Daren Tyndall","2627 N NC 11 & 903","2627 N NC 11 & 903","Albertson",28508,"2525683487","2627 N NC 11 & 903","Albertson",28508,"2525686238","http://www.duplinschools.net/Schools/BFG/","Duplin","SA","Public","Regular School","None","Traditional","-",54,"PK","08","yes","yes","yes",NA,NA,716404.454499997,145647.975299999
569,"310336",NA,NA,NA,"Warsaw Elementary","Ann Hardy","158 Lane Field Road","158 Lane Field Road","Warsaw",28398,"9102933121","158 Lane Field Road","Warsaw",28398,"9102934096","http://www.duplinschools.net/schools/ware","Duplin","SA","Public","Regular School","None","Traditional","-",34,"PK","05","yes","yes",NA,NA,NA,693835.687399998,138630.921700001
570,"310352",NA,"point verified","1","James Kenan High","Michael Holton","1241 NC 24 & 50","1241 NC 24 & 50","Warsaw",28398,"9102934218","1241 NC 24 & 50","Warsaw",28398,"9102936744","http://www.duplinschools.net/schools/jkh","Duplin","SA","Public","Regular School","None","Traditional","-",48,"09","12",NA,NA,NA,"yes",NA,696959.687299997,137364.094000001
571,"310340",NA,"point verified","1","E E Smith Middle","Michelle Thigpen","Hwy 24","Hwy 24","Kenansville",28349,"9102960309","PO Box 369","Kenansville",28349,"9102960086","http://www.duplinschools.net/schools/ees","Duplin","SA","Public","Regular School","None","Traditional","-",25,"06","08",NA,NA,"yes",NA,NA,703174.124799997,134604.484299999
572,"310356",NA,"point verified","1","Kenansville Elementary","Pam Murray","Hwy 50","Hwy 50","Kenansville",28349,"9102961647","PO Box 98","Kenansville",28349,"9102960022","http://www.duplinschools.net/schools/kes","Duplin","SA","Public","Regular School","None","Traditional","-",37,"PK","05","yes","yes",NA,NA,NA,704687.375200003,134345.734299999
573,"310344",NA,NA,NA,"East Duplin High","Scott Ballard","394 North NC Highway 111","394 North NC Highway 111","Beulaville",28518,"9102984535","394 North NC Highway 111","Beulaville",28518,"9102982021","http://www.duplinschools.net/schools/edh","Duplin","SA","Public","Regular School","None","Traditional","-",61,"09","12",NA,NA,NA,"yes",NA,720617.187600002,132776.1875
574,"310308",NA,NA,NA,"Beulaville Elementary","Keith Williams","138 Lyman Road","138 Lyman Road","Beulaville",28518,"9102983171","138 Lyman Road","Beulaville",28518,"9102983342","http://www.duplinschools.net/Schools/BES/","Duplin","SA","Public","Regular School","None","Traditional","-",62,"PK","08","yes","yes","yes",NA,NA,722516.229699999,130441.780699998
575,"310384",NA,NA,NA,"Rose HillMagnolia Elementary","William Negron","1329 Brooks Quinn Road","1329 Brooks Quinn Road","Rose Hill",28458,"9102893667","PO Box 340","Rose Hill",28458,"9102893378","http://www.duplinschools.net/schools/rhm","Duplin","SA","Public","Regular School","None","Traditional","-",43,"PK","05","yes","yes",NA,NA,NA,698903.625100002,122470.890500002
576,"310324",NA,NA,NA,"Charity Middle","Janice Wynn","1333 West Charity Road","1333 West Charity Road","Rose Hill",28458,"9102893323","PO Box 70","Rose Hill",28458,"9102892064","http://www.duplinschools.net/schools/cms","Duplin","SA","Public","Regular School","None","Traditional","-",32,"06","08",NA,NA,"yes",NA,NA,703946.062399998,119709.8358
577,"310330",NA,"point verified","1","Chinquapin Elementary","Tracy Mintz","3894 NC 50 South","3894 NC 50 South","Chinquapin",28521,"9102853476","3894 NC 50 South","Chinquapin",28521,"9102856879","http://www.duplinschools.net/schools/ces","Duplin","SA","Public","Regular School","None","Traditional","-",40,"PK","08","yes","yes","yes",NA,NA,718277.749899998,119883.616999999
578,"310388",NA,"point verified","1","Wallace Elementary","Pamela Jenkins","4266 NC 11 S","4266 NC 11 S","Wallace",28466,"9102857183","4266 NC 11 S","Wallace",28466,"9102854340","http://www.duplinschools.net/schools/wes","Duplin","SA","Public","Regular School","None","Traditional","-",48,"PK","05","yes","yes",NA,NA,NA,703102.312700003,109645.367400002
579,"430384",NA,NA,NA,"Western Harnett High","Stan Williams","10637 NC Hwy 27 West","10637 NC Hwy 27 West","Lillington",27546,"9194995113","10637 NC Hwy 27 West","Lillington",27546,"9194991537","http://www.harnett.k12.nc.us/schools/whhs/","Harnett","SA","Public","Regular School","None","Traditional","-",77,"09","12",NA,NA,NA,"yes",NA,611330.625200003,175937.656100001
580,"430386",NA,NA,NA,"Western Harnett Middle","Walter McPherson","11135 NC Hwy 27 West","11135 NC Hwy 27 West","Lillington",27546,"9194994497","11135 NC Hwy 27 West","Lillington",27546,"9194991788","http://www.harnett.k12.nc.us/Schools/WHMS/index.h","Harnett",NA,"Public","Regular School","None","Traditional","-",57,"06","08",NA,NA,"yes",NA,NA,610624.374899998,175930.968699999
581,"430345",NA,NA,NA,"STAR Academy","Ron Avery","900 11th Street","900 11th Street","Lillington",27546,"9108934072","900 11th Street","Lillington",27546,"9108933421","http://www.harnett.k12.nc.us/education/school/sch","Harnett",NA,"Public","Alternative Education","None","Traditional","-",17,"06","12",NA,NA,"yes","yes",NA,625711.562700003,182921.734499998
582,"430347",NA,NA,NA,"Harnett Central Middle","Linwood Smith","2529 Harnett Central Rd","2529 Harnett Central Rd","Angier",27501,"9196396000","2529 Harnett Central Rd","Angier",27501,"9196399617","http://www.harnett.k12.nc.us/schools/hcms","Harnett",NA,"Public","Regular School","None","Traditional","-",79,"06","08",NA,NA,"yes",NA,NA,629041.750100002,190029.8281
583,"440314",NA,"point verified","1","Bethel Elementary","Jill Barker","4700 Old River Road","4700 Old River Road","Canton",28716,"8286463448","4700 Old River Road","Canton",28716,"8286463470","http://www.bes.haywood.k12.nc.us","Haywood","SA","Public","Regular School","None","Traditional","-",31,"KG","05",NA,"yes",NA,NA,NA,256129.578199998,198061.718800001
584,"440318",NA,"point verified","1","Bethel Middle","Jason Heinz","630 Sonoma Road","630 Sonoma Road","Waynesville",28786,"8286463442","630 Sonoma Road","Waynesville",28786,"8286486259","http://www.bms.haywood.k12.nc.us","Haywood","SA","Public","Regular School","None","Traditional","-",21,"06","08",NA,NA,"yes",NA,NA,256302.125100002,198059.5
585,"440349",NA,"point verified","1","Jonathan Valley Elementary","Heather Hollingsworth","410 Hall Drive","410 Hall Drive","Waynesville",28785,"8289263207","410 Hall Drive","Waynesville",28785,"8289262678","http://www.jve.haywood.k12.nc.us","Haywood","SA","Public","Regular School","None","Traditional","-",23,"PK","05","yes","yes",NA,NA,NA,244190.031099997,205037.968899999
586,"490366",NA,NA,NA,"Troutman Middle","Jeff James","305 Rumple St","305 Rumple St","Troutman",28166,"7045285137","PO Box 807","Troutman",28166,"7045284006","http://www.iss.k12.nc.us/schools/tms","Iredell","SA","Public","Regular School","None","Traditional","-",29,"06","08",NA,NA,"yes",NA,NA,438958.468900003,217925.671700001
587,"580324",NA,NA,NA,"Jamesville Elementary","James Lammert","1220 Hardison St","1220 Hardison St","Jamesville",27846,"2527928304","PO Box 190","Jamesville",27846,"2528094813","http://jesmartin.sharpschool.net/","Martin","SA","Public","Regular School","None","Traditional","-",15,"PK","05","yes","yes",NA,NA,NA,799249.812399998,230572.5627
588,"580328",NA,NA,NA,"Jamesville Middle","William Hart","1215 S St Andrews St","1215 S St Andrews St","Jamesville",27846,"2527924428","1215 S St Andrews St","Jamesville",27846,"2528094812","http://jmsmartin.sharpschool.net/","Martin","SA","Public","Regular School","None","Traditional","-",10,"06","08",NA,NA,"yes",NA,NA,799503.687399998,230511.937399998
589,"630331",NA,NA,NA,"New Century Middle","Robin Calcutt","1577 Union Church Road","1577 Union Church Road","Cameron",28326,"9109471301","1577 Union Church Road","Cameron",28326,"9109471227","http://schoolcenter.mcs.k12.nc.us/ncm/","Moore",NA,"Public","Regular School","None","Traditional","-",17,"06","08",NA,NA,"yes",NA,NA,577027.374799997,175561.719000001
590,"650339",NA,NA,NA,"Holly Tree Elementary","Laura Holliday","3020 Web Trace","3020 Web Trace","Wilmington",28409,"9107902250","3020 Web Trace","Wilmington",28409,"9107902252","http://www.nhcs.k12.nc.us/htree/","New Hanover",NA,"Public","Regular School","None","Traditional","-",32,"KG","05",NA,"yes",NA,NA,NA,712550.937600002,49721.0861000009
591,"650353",NA,NA,NA,"Dr Hubert Eaton Sr Elem","Heather Byers","6701 Gordon Road","6701 Gordon Road","Wilmington",28405,"9103971544","6701 Gordon Road","Wilmington",28405,"9103971546","http://www.nhcs.k12.nc.us/eaton/","New Hanover",NA,"Public","Regular School","None","Year Round","-",36,"KG","05",NA,"yes",NA,NA,NA,717370.562600002,57568.5978999995
592,"650356",NA,"point verified","1","Ogden Elementary","Tammy Bruestle","3637 Middle Sound Rd","3637 Middle Sound Rd","Wilmington",28411,"9106866464","3637 Middle Sound Rd","Wilmington",28411,"9106862096","http://www.nhcs.k12.nc.us/ogden/","New Hanover",NA,"Public","Regular School","None","Traditional","-",42,"KG","05",NA,"yes",NA,NA,NA,719223.500100002,57907.6055000015
593,"690312",NA,NA,NA,"Fred A Anderson Elementary","Sherry Meador","515 Anderson Drive","515 Anderson Drive","Bayboro",28515,"2527454611","PO Box 417","Bayboro",28515,"2527455021","http://faa.pamlico.k12.nc.us/","Pamlico","SA","Public","Regular School","None","Traditional","-",23,"03","05",NA,"yes",NA,NA,NA,811944.375100002,156413.3281
594,"690320",NA,NA,NA,"Pamlico County High","Henry Rice","601 Main Street","601 Main Street","Bayboro",28515,"2527453151","601 Main Street","Bayboro",28515,"2527453153","http://pchs.pamlico.k12.nc.us/","Pamlico","SA","Public","Regular School","None","Traditional","-",47,"09","12",NA,NA,NA,"yes",NA,811969.437700003,156737.531500001
595,"690316",NA,"point verified","1","Pamlico County Middle","Lisa Jackson","15526 NC Hwy 55","15526 NC Hwy 55","Bayboro",28515,"2527454061","15526 NC Hwy 55","Bayboro",28515,"2527455583","http://pcms.pamlico.k12.nc.us/","Pamlico","SA","Public","Regular School","None","Traditional","-",28,"06","08",NA,NA,"yes",NA,NA,813469.812600002,156304.749899998
596,"710326",NA,NA,NA,"Pender High","Craig Baker","5380 NC Hwy 53 W","5380 NC Hwy 53 W","Burgaw",28425,"9102590162","5380 NC Hwy 53 W","Burgaw",28425,"9102590166","http://www.pendercountyschools.net","Pender","SA","Public","Regular School","None","Traditional","-",39,"PK","12","yes","yes","yes","yes",NA,700304.062299997,88723.1873999983
597,"710328",NA,NA,NA,"Penderlea Elementary","Diego Lehocky","82 Penderlea School Rd","82 Penderlea School Rd","Willard",28478,"9102852761","82 Penderlea School Rd","Willard",28478,"9102852990","http://www.pendercountyschools.net","Pender",NA,"Public","Regular School","None","Year Round","-",31,"KG","08",NA,NA,"yes",NA,NA,696916.249899998,100925.148400001
598,"710332",NA,"point verified","1","Rocky Point Primary","Donna Redinger","255 Elementary School Road","255 Elementary School Road","Rocky Point",28457,"9106752309","255 Elementary School Road","Rocky Point",28457,"9106758730","http://www.pendercountyschools.net","Pender",NA,"Public","Regular School","None","Traditional","-",27,"PK","02","yes","yes",NA,NA,NA,712820.000100002,75864.8361000009
599,"710342",NA,NA,NA,"Topsail High","Donald Simmons","17445 US Hwy 17","245 North St Johns Road","Hampstead",28443,"9102702755","245 North St Johns Road","Hampstead",28443,"9102709290","http://www.pendercountyschools.net","Pender","SA","Public","Regular School","None","Traditional","-",61,"09","12",NA,NA,NA,"yes",NA,731243.75,72630.2657999992
600,"710346",NA,NA,NA,"Topsail Middle","James Klingensmith","17385 US Hwy 17","17445 US Hwy 17","Hampstead",28443,"9102702612","17445 US Hwy 17","Hampstead",28443,"9102703190","http://www.pendercountyschools.net","Pender",NA,"Public","Regular School","None","Traditional","-",46,"06","08",NA,NA,"yes",NA,NA,731148.5625,72379.3828999996
601,"710348",NA,NA,NA,"West Pender Middle","Edith Skipper","10750 NC Hwy 53 West","10750 NC Hwy 53 West","Burgaw",28425,"9102835626","10750 NC Hwy 53 West","Burgaw",28425,"9102839537","http://www.pendercountyschools.net","Pender",NA,"Public","Regular School","None","Traditional","-",18,"06","08",NA,NA,"yes",NA,NA,691948.562600002,86717.3357999995
602,"460318",NA,"point verified","1","Hertford County Middle","Vatera Slade","1850 Hwy 11N","1850 Hwy 11N","Murfreesboro",27855,"2523984091","1850 Hwy 11N","Murfreesboro",27855,"2523985570",NA,"Hertford","SA","Public","Regular School","None","Traditional","-",37,"07","08",NA,NA,"yes",NA,NA,780987.5,298974.906399999
603,"460332",NA,"point verified","1","Riverview Elementary","Lori Morings","236 US 158 Business","236 US 158 Business","Murfreesboro",27855,"2523984862","236 US 158 Business","Murfreesboro",27855,"2523983600",NA,"Hertford","SA","Public","Regular School","None","Traditional","-",29,"PK","06","yes","yes",NA,NA,NA,782084.375100002,299903.968600001
604,"460320",NA,"point verified","1","Hertford County High","James Futrell","1500 W First St","1500 W First St","Ahoskie",27910,"2523324096","1500 W First St","Ahoskie",27910,"2523326176",NA,"Hertford","SA","Public","Regular School","None","Traditional","-",59,"09","12",NA,NA,NA,"yes",NA,789404.375,284314.75
605,"730356",NA,NA,NA,"South Elementary","Shayla Holeman","1333 Hurdle Mills Rd","1333 Hurdle Mills Rd","Roxboro",27573,"3365997133","1333 Hurdle Mills Rd","Roxboro",27573,"3365974611","http://www.person.k12.nc.us/south/","Person",NA,"Public","Regular School","None","Traditional","-",19,"KG","05",NA,"yes",NA,NA,NA,610610.374899998,291255.8125
606,"820349",NA,"point verified","1","Lakewood High","Monty Strickland","245 Lakewood School Rd","245 Lakewood School Rd","Salemburg",28385,"9105255171","245 Lakewood School Rd","Salemburg",28385,"9105253344","http://www.sampson.k12.nc.us/LakewoodHigh/","Sampson","SA","Public","Regular School","None","Traditional","-",36,"09","12",NA,NA,NA,"yes",NA,655038.624799997,137743.125100002
607,"820372",NA,"point verified","1","RoseboroSalemburg Middle","Sheila Peterson","305 West Pleasant Street","305 West Pleasant Street","Roseboro",28382,"9105254764","PO Box 976","Roseboro",28382,"9105253471","http://www.sampson.k12.nc.us/rsmid/","Sampson","SA","Public","Regular School","None","Traditional","-",25,"06","08",NA,NA,"yes",NA,NA,654113.3125,133269.218800001
608,"910316",NA,NA,NA,"EatonJohnson Middle","Larry Webb","500 N Beckford Drive","500 N Beckford Drive","Henderson",27536,"2524385017","500 N Beckford Drive","Henderson",27536,"2527380250","http://www.vcs.k12.nc.us/schools/EJMS","Vance","SA","Public","Regular School","None","Traditional","-",55,"06","08",NA,NA,"yes",NA,NA,663371.937399998,287245.906100001
609,"910340",NA,NA,NA,"New Hope Elementary","Harold Thompson","10199 NC 39 Hwy N","10199 NC 39 Hwy N","Henderson",27537,"2524386549","10199 NC 39 Hwy N","Henderson",27537,"2524387389","http://www.vcs.k12.nc.us/newhope","Vance","SA","Public","Regular School","None","Traditional","-",15,"PK","05","yes","yes",NA,NA,NA,659591.312700003,301281.093600001
610,"910346",NA,NA,NA,"E O Young Jr Elementary","Adrienne Morton","6655 Broad Street","6655 Broad Street","Henderson",27537,"2524386423","6655 Broad Street","Middleburg",27556,"2524330215","http://www.vcs.k12.nc.us/eoyoung","Vance","SA","Public","Regular School","None","Traditional","-",21,"PK","05","yes","yes",NA,NA,NA,669789.249899998,293866.875100002
611,"910380",NA,NA,NA,"Zeb Vance Elementary","Anne Garrison","4800 Raleigh Road","4800 Raleigh Road","Kittrell",27544,"2524388492","4800 Raleigh Road","Kittrell",27544,"2524310570","http://www.vcs.k12.nc.us/zebvance","Vance","SA","Public","Regular School","None","Traditional","-",31,"PK","05","yes","yes",NA,NA,NA,662566.750100002,279112.593899999
612,"940306",NA,NA,NA,"Creswell Elementary","Robert Moore","200 South Seventh St","200 South Seventh St","Creswell",27928,"2527977474","PO Box 327","Creswell",27928,"2527977343","http://www.washingtonco.k12.nc.us/CES/CES.htm","Washington","SA","Public","Regular School","None","Traditional","-",14,"PK","06","yes","yes",NA,NA,NA,844619.999899998,238276.812399998
613,"20330",NA,NA,NA,"West Alexander Middle","Chad Maynor","85 Bulldog Lane","85 Bulldog Lane","Taylorsville",28681,"8284954611","85 Bulldog Lane",NA,0,"8284953527","http://www.alexander.k12.nc.us/west.htm","Alexander","SA","Public","Regular School","None","Traditional","-",41,"06","08",NA,NA,"yes",NA,NA,400815.093699999,237950.531199999
614,"160306",NA,"point verified","1","Bogue Sound Elementary","Teresa Beeson","3323 Highway 24","3323 Highway 24","Newport",28570,"2523931279","3323 Highway 24","Newport",28570,"2523931379","http://www.carteretcountyschools.org/bse","Carteret",NA,"Public","Regular School","None","Traditional","-",33,"PK","05","yes","yes",NA,NA,NA,797270.274700001,109418.859000001
615,"160314",NA,"point verified","1","Croatan High","Joseph Poletti","1 Cougar Lane","1 Cougar Lane","Newport",28570,"2523937022","1 Cougar Lane","Newport",28570,"2523931223","http://www.carteretcountyschools.org/chs","Carteret","SA","Public","Regular School","None","Traditional","-",49,"06","12",NA,NA,"yes","yes",NA,797319.212300003,109118.727000002
616,"250368","yes, 2012","down the street","1","Tucker Creek Middle","Angela Franks","200 Sermons Boulevard","200 Sermons Boulevard","Havelock",28532,"2524447200","200 Sermons Boulevard","Havelock",28532,"2524447206","http://www.craven.k12.nc.us/TCM/","Craven","SA","Public","Regular School","None","Year Round","-",35,"06","08",NA,NA,"yes",NA,NA,797874.104599997,132778.761999998
617,"350310",NA,NA,NA,"Bunn Middle","Roosevelt Alston","4742 NC 39 Hwy S","4742 NC 39 Hwy S","Bunn",27508,"9194967700","4742 NC 39 Hwy S","Bunn",27508,"9194961404","http://www.fcschools.net/bms/","Franklin","SA","Public","Regular School","None","Traditional","-",48,"06","08",NA,NA,"yes",NA,NA,676075.6875,247044.359299999
618,"350312",NA,NA,NA,"Cedar Creek Middle","Laverne Daniels","2228 Cedar Creek Road","2228 Cedar Creek Road","Youngsville",27596,"9195544848","2228 Cedar Creek Road","Youngsville",27596,"9195705143","http://www.fcschools.net/ccms/wm.htm","Franklin","SA","Public","Regular School","None","Traditional","-",48,"06","08",NA,NA,"yes",NA,NA,659210.125100002,254352.265700001
619,"422318",NA,NA,NA,"Weldon Middle","Cynthia Byrd","4489 Highway 301","4489 Highway 301","Halifax",27839,"2525362571","4489 Highway 301","Halifax",27839,"2525363485","http://www.weldoncityschools.k12.nc.us/Weldon%20M","Halifax","SA","Public","Regular School","None","Traditional","-",19,"05","08",NA,NA,"yes",NA,NA,734002.812600002,296100.187399998
