LEA Code,School Code,LEA Name,School Name,Total,Female,Male,Asian,Black,Hispanic,American Indian,Two or More Races,Native Hawaiian/ Pacific Islander,White,SCHOOL CODE
360,396,Gaston County Schools,Forestview High,11,3,8,.,2,1,<10,.,.,7,360396
360,428,Gaston County Schools,Hunter Huss High,27,12,15,.,4,8,.,1,.,14,360428
360,470,Gaston County Schools,North Gaston High,15,5,10,.,2,1,<10,1,.,10,360470
360,494,Gaston County Schools,South Point High,11,3,8,.,.,.,.,.,.,11,360494
360,550,Gaston County Schools,Gaston Virtual Academy,1,1,.,.,.,1,.,.,.,.,360550
370,LEA,Gates County Schools,LEA Totals,1,.,1,.,.,.,.,1,.,.,370LEA
370,308,Gates County Schools,Central Middle School,1,.,1,.,.,.,.,1,.,.,370308
380,LEA,Graham County Schools,LEA Totals,8,4,4,.,.,1,.,.,.,7,380LEA
380,308,Graham County Schools,Robbinsville High,8,4,4,.,.,1,.,.,.,7,380308
390,LEA,Granville County Schools,LEA Totals,59,19,40,.,21,8,.,2,.,28,390LEA
390,314,Granville County Schools,Phoenix Academy,3,<10,1,.,2,.,.,.,.,<10,390314
390,321,Granville County Schools,Granville Academy,6,1,5,.,1,1,.,.,.,4,390321
390,322,Granville County Schools,Granville Central High,12,4,8,.,5,3,.,.,.,4,390322
390,324,Granville County Schools,J. F. Webb High,18,5,13,.,11,1,.,1,.,5,390324
390,352,Granville County Schools,South Granville High,18,6,12,.,2,2,.,1,.,13,390352
390,700,Granville County Schools,JF Webb HS Of Health And Life Sciences,2,1,1,.,.,1,.,.,.,1,390700
39A,LEA,Falls Lake Academy,LEA Totals,1,.,1,.,.,.,.,.,.,1,39ALEA
39B,LEA,Oxford Preparatory High School,LEA Totals,2,1,1,.,1,.,.,.,.,1,39BLEA
400,LEA,Greene County Schools,LEA Totals,7,1,6,.,1,1,.,.,.,5,400LEA
400,308,Greene County Schools,Greene Central High,7,1,6,.,1,1,.,.,.,5,400308
410,LEA,Guilford County Schools,LEA Totals,482,183,299,12,258,123,4,18,3,64,410LEA
410,307,Guilford County Schools,Edwin A Alderman Elementary,3,2,1,.,1,2,.,.,.,.,410307
410,310,Guilford County Schools,Allen Jay Elementary,1,1,.,1,.,.,.,.,.,.,410310
410,313,Guilford County Schools,Southern Guilford Middle,2,2,.,.,1,1,.,.,.,.,410313
410,316,Guilford County Schools,Allen Middle,8,3,5,.,3,5,.,.,.,.,410316
410,319,Guilford County Schools,T Wingate Andrews High,11,4,7,1,4,1,.,4,.,1,410319
410,322,Guilford County Schools,Archer Elementary,2,1,1,.,1,.,.,.,.,1,410322
410,325,Guilford County Schools,Swann Middle School,5,3,2,1,2,2,.,.,.,.,410325
410,328,Guilford County Schools,Bessemer Elementary,3,1,2,.,3,.,.,.,.,.,410328
410,340,Guilford County Schools,Monticello-Brown Summit Elem,1,.,1,.,1,.,.,.,.,.,410340
410,349,Guilford County Schools,Ceasar Cone Elementary,4,1,3,.,4,.,.,.,.,.,410349
410,355,Guilford County Schools,James B Dudley High,46,20,26,1,43,2,.,.,.,.,410355
410,358,Guilford County Schools,Eastern Guilford High,18,5,13,.,8,9,.,.,.,1,410358
410,364,Guilford County Schools,Fairview Elementary,1,.,1,.,.,1,.,.,.,.,410364
410,366,Guilford County Schools,Waldo C Falkener Sr Elementary,3,1,2,.,3,.,.,.,.,.,410366
410,367,Guilford County Schools,Ferndale Middle,6,2,4,.,5,1,.,.,.,.,410367
410,370,Guilford County Schools,Florence Elementary,1,.,1,.,.,.,.,.,.,1,410370
410,373,Guilford County Schools,Julius I Foust Elementary,2,.,2,.,.,1,.,<10,.,.,410373
410,376,Guilford County Schools,Cyrus P Frazier Elementary,1,1,.,.,1,.,.,.,.,.,410376
410,382,Guilford County Schools,Gibsonville Elementary,1,1,.,.,.,1,.,.,.,.,410382
410,388,Guilford County Schools,General Greene Elementary,1,1,.,.,.,.,.,.,.,1,410388
410,394,Guilford County Schools,Grimsley High,29,12,17,.,17,1,.,1,.,10,410394
410,398,Guilford County Schools,Doris Henderson Newcomers Sch,21,7,14,1,.,20,.,.,.,.,410398
410,400,Guilford County Schools,Guilford Elementary,1,1,.,.,.,.,.,.,<10,.,410400
410,402,Guilford County Schools,Otis L Hairston Sr Middle,3,2,1,.,2,1,.,.,.,.,410402
410,406,Guilford County Schools,High Point Central High,21,4,17,.,10,7,<10,.,.,3,410406
410,412,Guilford County Schools,Irving Park Elementary,1,.,1,.,.,.,.,.,.,1,410412
410,415,Guilford County Schools,Jackson Middle,4,2,2,.,2,1,.,.,.,1,410415
410,421,Guilford County Schools,Jamestown Middle,5,2,3,1,1,2,.,.,.,1,410421
410,423,Guilford County Schools,Jefferson Elementary,3,1,2,1,.,1,.,.,.,1,410423
410,430,Guilford County Schools,David D Jones Elementary,1,1,.,.,1,.,.,.,.,.,410430
410,439,Guilford County Schools,Kirkman Park Elementary,1,1,.,.,.,.,.,.,.,1,410439
410,442,Guilford County Schools,Kiser Middle,5,1,4,.,4,1,.,.,.,.,410442
410,451,Guilford County Schools,John Van Lindley Elementary,8,5,3,.,4,1,.,1,.,2,410451
410,454,Guilford County Schools,Madison Elementary,2,.,2,.,.,1,.,.,.,1,410454
410,458,Guilford County Schools,C Joyner Greene Education Center,1,.,1,.,.,.,.,.,.,1,410458
410,460,Guilford County Schools,Eastern Guilford Middle,6,2,4,.,5,1,.,.,.,.,410460
410,466,Guilford County Schools,Millis Road Elementary,1,1,.,.,.,1,.,.,.,.,410466
410,469,Guilford County Schools,Montlieu Academy of Technology,2,1,1,.,2,.,.,.,.,.,410469
410,472,Guilford County Schools,Morehead Elementary,6,5,1,.,3,1,.,.,.,2,410472
410,484,Guilford County Schools,Northeast Guilford High,22,5,17,.,10,6,.,1,.,5,410484
410,487,Guilford County Schools,Northeast Guilford Middle,2,1,1,.,1,1,.,.,.,.,410487
410,489,Guilford County Schools,Northern Guilford High,10,3,7,.,5,1,.,.,.,4,410489
410,490,Guilford County Schools,Northwest Guilford High,3,2,1,.,.,.,.,2,.,1,410490
410,491,Guilford County Schools,EP Pearce Elementary,1,.,1,.,.,.,.,.,.,1,410491
410,493,Guilford County Schools,Northwest Guilford Middle,1,.,1,.,1,.,.,.,.,.,410493
410,496,Guilford County Schools,Northwood Elementary,2,2,.,.,1,.,.,1,.,.,410496
410,499,Guilford County Schools,Oak Hill Elementary,2,1,1,1,.,1,.,.,.,.,410499
410,505,Guilford County Schools,Oak View Elementary,1,1,.,.,1,.,.,.,.,.,410505
410,508,Guilford County Schools,Page High,26,11,15,3,14,5,.,.,.,4,410508
410,511,Guilford County Schools,Parkview Village Elementary,3,2,1,.,3,.,.,.,.,.,410511
410,514,Guilford County Schools,Clara J Peck Elementary,1,1,.,.,.,1,.,.,.,.,410514
410,523,Guilford County Schools,Pleasant Garden Elementary,2,1,1,.,.,.,.,.,.,2,410523
410,529,Guilford County Schools,Lucy Ragsdale High,22,3,19,1,8,7,<10,2,.,3,410529
410,532,Guilford County Schools,Rankin Elementary,6,2,4,.,6,.,.,.,.,.,410532
410,533,Guilford County Schools,SCALE School,1,.,1,.,1,.,.,.,.,.,410533
410,534,Guilford County Schools,Pruette SCALE Academy,1,<10,.,.,<10,.,.,.,.,.,410534
410,538,Guilford County Schools,Sedgefield Elementary,5,1,4,.,1,3,.,.,.,1,410538
410,541,Guilford County Schools,Shadybrook Elementary,3,1,2,.,3,.,.,.,.,.,410541
410,542,Guilford County Schools,George C Simkins Jr Elementary,5,4,1,.,5,.,.,.,.,.,410542
410,544,Guilford County Schools,Ben L. Smith High School,39,15,24,.,22,15,<10,1,.,.,410544
410,547,Guilford County Schools,Southeast Guilford High,6,2,4,.,1,2,.,.,.,3,410547
410,550,Guilford County Schools,Southeast Guilford Middle,4,.,4,.,1,2,.,.,.,1,410550
410,556,Guilford County Schools,Southern Guilford High,20,8,12,.,7,6,<10,1,.,5,410556
410,562,Guilford County Schools,Southwest Guilford High,6,1,5,.,3,1,.,.,.,2,410562
410,565,Guilford County Schools,Southwest Guilford Middle,3,3,.,.,3,.,.,.,.,.,410565
410,577,Guilford County Schools,Sumner Elementary,6,2,4,.,4,1,.,1,.,.,410577
410,578,Guilford County Schools,Triangle Lake Montessori Elem,3,1,2,.,3,.,.,.,.,.,410578
410,583,Guilford County Schools,Vandalia Elementary,2,2,.,.,.,.,.,.,<10,.,410583
410,586,Guilford County Schools,Washington Elementary,1,1,.,.,1,.,.,.,.,.,410586
410,592,Guilford County Schools,Welborn Middle,1,.,1,.,.,.,.,1,.,.,410592
410,595,Guilford County Schools,Western Guilford High,27,8,19,.,17,6,.,1,.,3,410595
410,598,Guilford County Schools,Wiley Accel/Enrichment,4,1,3,.,4,.,.,.,.,.,410598
41K,LEA,Piedmont Classical High School,LEA Totals,2,2,.,.,1,1,.,.,.,.,41KLEA
420,LEA,Halifax County Schools,LEA Totals,17,4,13,.,12,1,2,1,.,1,420LEA
420,346,Halifax County Schools,Northwest Halifax Collegiate and Technic,12,2,10,.,7,<10,2,<10,.,<10,420346
420,358,Halifax County Schools,Southeast Halifax Collegiate Prep Academ,5,2,3,.,5,.,.,.,.,.,420358
421,LEA,Roanoke Rapids City Schools,LEA Totals,1,1,.,.,.,.,.,.,.,1,421LEA
421,316,Roanoke Rapids City Schools,Roanoke Rapids High School,1,1,.,.,.,.,.,.,.,1,421316
422,LEA,Weldon City Schools,LEA Totals,7,5,2,.,7,.,.,.,.,.,422LEA
422,315,Weldon City Schools,Weldon STEM High School Career Academies,7,5,2,.,7,.,.,.,.,.,422315
430,LEA,Harnett County Schools,LEA Totals,72,25,47,.,20,15,1,3,.,33,430LEA
430,345,Harnett County Schools,STAR Academy,25,11,14,.,14,3,.,1,.,7,430345
430,346,Harnett County Schools,Harnett Central High,17,2,15,.,2,4,.,1,.,10,430346
430,371,Harnett County Schools,Overhills High,6,2,4,.,1,1,.,.,.,4,430371
430,378,Harnett County Schools,Triton High,11,6,5,.,1,3,.,1,.,6,430378
430,384,Harnett County Schools,Western Harnett High,13,4,9,.,2,4,1,.,.,6,430384
440,LEA,Haywood County Schools,LEA Totals,24,8,16,1,.,1,.,.,.,22,440LEA
440,320,Haywood County Schools,Canton Middle,1,.,1,.,.,1,.,.,.,.,440320
440,326,Haywood County Schools,Central Haywood High,11,4,7,<10,.,.,.,.,.,10,440326
440,378,Haywood County Schools,Pisgah High,5,2,3,.,.,.,.,.,.,5,440378
440,390,Haywood County Schools,Tuscola High,7,2,5,.,.,.,.,.,.,7,440390
450,LEA,Henderson County Schools,LEA Totals,46,11,35,1,3,14,.,5,.,23,450LEA
450,301,Henderson County Schools,Apple Valley Middle,1,.,1,.,.,1,.,.,.,.,450301
450,306,Henderson County Schools,Bruce Drysdale Elementary,1,.,1,.,.,1,.,.,.,.,450306
450,307,Henderson County Schools,Clear Creek Elementary,2,.,2,.,.,.,.,2,.,.,450307
450,316,Henderson County Schools,East Henderson High,11,3,8,.,1,4,.,.,.,6,450316
450,324,Henderson County Schools,Etowah Elementary,1,.,1,.,.,.,.,1,.,.,450324
450,328,Henderson County Schools,Flat Rock Middle,1,.,1,.,.,1,.,.,.,.,450328
450,334,Henderson County Schools,Hendersonville High,1,.,1,.,1,.,.,.,.,.,450334
450,341,Henderson County Schools,North Henderson High,9,2,7,.,.,2,.,1,.,6,450341
450,343,Henderson County Schools,Henderson County Career Academy,15,4,11,.,<10,4,.,<10,.,9,450343
450,352,Henderson County Schools,West Henderson High,4,2,2,1,.,1,.,.,.,2,450352
460,LEA,Hertford County Schools,LEA Totals,13,4,9,.,9,2,.,.,.,2,460LEA
460,320,Hertford County Schools,Hertford County High,13,4,9,.,9,2,.,.,.,2,460320
470,LEA,Hoke County Schools,LEA Totals,34,13,21,.,9,8,8,3,.,6,470LEA
470,312,Hoke County Schools,Hoke County High,29,12,17,.,6,8,8,2,.,5,470312
470,342,Hoke County Schools,J W Turlington School,5,1,4,.,3,.,.,<10,.,<10,470342
480,LEA,Hyde County Schools,LEA Totals,1,.,1,.,.,.,.,1,.,.,480LEA
480,318,Hyde County Schools,Mattamuskeet Early College High,1,.,1,.,.,.,.,1,.,.,480318
490,LEA,Iredell-Statesville Schools,LEA Totals,88,30,58,.,6,14,.,5,.,63,490LEA
490,307,Iredell-Statesville Schools,Agriculture and Science Early College,1,1,.,.,.,.,.,.,.,1,490307
490,310,Iredell-Statesville Schools,Career Academy and Technical School,2,1,1,.,1,.,.,.,.,1,490310
490,320,Iredell-Statesville Schools,Collaborative College for Technology,1,1,.,.,.,1,.,.,.,.,490320
490,335,Iredell-Statesville Schools,Lake Norman High,17,5,12,.,2,2,.,1,.,12,490335
490,346,Iredell-Statesville Schools,North Iredell High,21,10,11,.,1,1,.,1,.,18,490346
490,350,Iredell-Statesville Schools,Pressly School,11,2,9,.,.,<10,.,<10,.,8,490350
490,354,Iredell-Statesville Schools,Statesville High,11,4,7,.,1,4,.,1,.,5,490354
490,362,Iredell-Statesville Schools,South Iredell High,11,3,8,.,1,1,.,.,.,9,490362
490,363,Iredell-Statesville Schools,Third Creek Elementary,1,.,1,.,.,.,.,.,.,1,490363
490,380,Iredell-Statesville Schools,West Iredell High,12,3,9,.,.,3,.,1,.,8,490380
491,LEA,Mooresville Graded School District,LEA Totals,13,4,9,.,2,1,.,.,.,10,491LEA
491,312,Mooresville Graded School District,Mooresville High School,13,4,9,.,2,1,.,.,.,10,491312
500,LEA,Jackson County Public Schools,LEA Totals,9,2,7,.,.,2,.,.,.,7,500LEA
500,314,Jackson County Public Schools,Fairview Elementary,1,.,1,.,.,.,.,.,.,1,500314
500,324,Jackson County Public Schools,Jackson Community School,3,.,3,.,.,.,.,.,.,3,500324
500,340,Jackson County Public Schools,Smoky Mountain High School,5,2,3,.,.,2,.,.,.,3,500340
510,LEA,Johnston County Schools,LEA Totals,147,49,98,2,29,52,.,9,.,55,510LEA
510,308,Johnston County Schools,Benson Elementary,2,.,2,.,.,1,.,.,.,1,510308
510,310,Johnston County Schools,Benson Middle,1,1,.,.,.,.,.,.,.,1,510310
510,324,Johnston County Schools,Clayton High,23,10,13,1,5,9,.,.,.,8,510324
510,326,Johnston County Schools,West Clayton Elementary,1,1,.,.,.,1,.,.,.,.,510326
510,327,Johnston County Schools,Cleveland High,17,6,11,.,4,1,.,3,.,9,510327
510,333,Johnston County Schools,Corinth Holders High,22,5,17,1,3,8,.,.,.,10,510333
510,334,Johnston County Schools,Dixon Road Elementary,1,.,1,.,.,1,.,.,.,.,510334
510,344,Johnston County Schools,North Johnston Middle,1,.,1,.,.,.,.,.,.,1,510344
510,364,Johnston County Schools,Archer Lodge Middle,2,1,1,.,1,1,.,.,.,.,510364
510,367,Johnston County Schools,Johnston Co Early College Academy,1,1,.,.,1,.,.,.,.,.,510367
510,368,Johnston County Schools,North Johnston High,10,6,4,.,4,3,.,1,.,2,510368
510,373,Johnston County Schools,Powhatan Elementary,2,2,.,.,.,.,.,.,.,2,510373
510,376,Johnston County Schools,Princeton High,3,.,3,.,.,.,.,.,.,3,510376
510,378,Johnston County Schools,Riverwood Elementary,1,1,.,.,.,.,.,.,.,1,510378
510,390,Johnston County Schools,Selma Middle School,2,1,1,.,.,2,.,.,.,.,510390
510,396,Johnston County Schools,West Smithfield Elementary,2,1,1,.,.,1,.,.,.,1,510396
510,397,Johnston County Schools,Smithfield Middle,4,1,3,.,1,1,.,.,.,2,510397
510,399,Johnston County Schools,Smithfield-Selma High,26,4,22,.,7,13,.,1,.,5,510399
510,402,Johnston County Schools,South Johnston High,16,5,11,.,1,6,.,2,.,7,510402
510,406,Johnston County Schools,West Johnston High,9,3,6,.,2,4,.,1,.,2,510406
510,410,Johnston County Schools,Polenta Elementary,1,.,1,.,.,.,.,1,.,.,510410
520,LEA,Jones County Schools,LEA Totals,5,1,4,.,.,1,.,.,.,4,520LEA
520,344,Jones County Schools,Jones Senior High School,5,1,4,.,.,1,.,.,.,4,520344
530,LEA,Lee County Schools,LEA Totals,51,11,40,.,10,21,.,1,.,19,530LEA
530,306,Lee County Schools,Bragg Street Academy,9,.,9,.,3,4,.,.,.,2,530306
530,314,Lee County Schools,East Lee Middle,1,1,.,.,.,1,.,.,.,.,530314
530,336,Lee County Schools,Lee County High,26,7,19,.,6,12,.,.,.,8,530336
530,343,Lee County Schools,Southern Lee High School,14,3,11,.,1,3,.,1,.,9,530343
530,356,Lee County Schools,West Lee Middle,1,.,1,.,.,1,.,.,.,.,530356
540,LEA,Lenoir County Public Schools,LEA Totals,44,15,29,1,23,9,.,1,.,10,540LEA
540,312,Lenoir County Public Schools,E B Frink Middle,1,.,1,<10,.,.,.,.,.,.,540312
540,315,Lenoir County Public Schools,Kinston High,12,3,9,.,12,.,.,.,.,.,540315
540,316,Lenoir County Public Schools,La Grange Elementary,1,1,.,.,.,1,.,.,.,.,540316
540,318,Lenoir County Public Schools,Lenoir County Learning Academy,6,3,3,.,6,.,.,.,.,.,540318
540,324,Lenoir County Public Schools,North Lenoir High,14,5,9,.,2,7,.,.,.,5,540324
540,330,Lenoir County Public Schools,Rochelle Middle,1,.,1,.,1,.,.,.,.,.,540330
540,336,Lenoir County Public Schools,South Lenoir High,7,1,6,.,.,1,.,1,.,5,540336
540,338,Lenoir County Public Schools,Southeast Elementary,2,2,.,.,2,.,.,.,.,.,540338
550,LEA,Lincoln County Schools,LEA Totals,62,23,39,1,3,4,.,3,.,51,550LEA
550,308,Lincoln County Schools,Asbury Academy,19,<10,15,.,<10,<10,.,.,.,14,550308
550,320,Lincoln County Schools,East Lincoln High,2,.,2,.,.,.,.,.,.,2,550320
550,332,Lincoln County Schools,Lincolnton High,10,4,6,.,.,1,.,1,.,8,550332
550,344,Lincoln County Schools,North Lincoln High,12,7,5,<10,.,.,.,1,.,10,550344
550,368,Lincoln County Schools,West Lincoln High,18,7,11,.,.,1,.,1,.,16,550368
550,372,Lincoln County Schools,West Lincoln Middle,1,1,.,.,.,.,.,.,.,1,550372
55A,LEA,Lincoln Charter School,LEA Totals,2,1,1,.,1,.,.,1,.,.,55ALEA
560,LEA,Macon County Schools,LEA Totals,11,8,3,.,.,1,.,1,.,9,560LEA
560,320,Macon County Schools,Franklin High,1,1,.,.,.,.,.,1,.,.,560320
560,350,Macon County Schools,Union Academy,10,7,3,.,.,1,.,.,.,9,560350
570,LEA,Madison County Schools,LEA Totals,5,2,3,.,.,.,.,.,.,5,570LEA
570,318,Madison County Schools,Madison High School,3,2,1,.,.,.,.,.,.,3,570318
570,321,Madison County Schools,Madison County Alternative High,2,.,2,.,.,.,.,.,.,2,570321
580,LEA,Martin County Schools,LEA Totals,24,14,10,.,11,.,.,2,.,11,580LEA
580,344,Martin County Schools,South Creek Middle/High,6,4,2,.,2,.,.,2,.,2,580344
580,368,Martin County Schools,Riverside High,18,10,8,.,9,.,.,.,.,9,580368
590,LEA,McDowell County Schools,LEA Totals,28,9,19,.,.,1,.,1,.,26,590LEA
590,330,McDowell County Schools,McDowell High School,28,9,19,.,.,1,.,1,.,26,590330
600,LEA,Charlotte-Mecklenburg Schools,LEA Totals,1136,361,775,30,373,606,4,25,.,98,600LEA
600,301,Charlotte-Mecklenburg Schools,Albemarle Road Middle,1,.,1,.,1,.,.,.,.,.,600301
600,302,Charlotte-Mecklenburg Schools,Ardrey Kell High,6,2,4,.,1,.,.,.,.,5,600302
600,312,Charlotte-Mecklenburg Schools,William Amos Hough High,23,6,17,1,3,9,.,.,.,10,600312
600,317,Charlotte-Mecklenburg Schools,Whitewater Middle,2,1,1,.,.,2,.,.,.,.,600317
600,319,Charlotte-Mecklenburg Schools,Berryhill School,3,1,2,.,.,3,.,.,.,.,600319
600,333,Charlotte-Mecklenburg Schools,Carmel Middle,1,1,.,.,.,1,.,.,.,.,600333
600,341,Charlotte-Mecklenburg Schools,Cochrane Collegiate Academy,7,1,6,.,1,6,.,.,.,.,600341
600,351,Charlotte-Mecklenburg Schools,Coulwood STEM Academy,2,1,1,.,2,.,.,.,.,.,600351
600,352,Charlotte-Mecklenburg Schools,Crown Point Elementary,1,.,1,1,.,.,.,.,.,.,600352
600,361,Charlotte-Mecklenburg Schools,Butler High,30,11,19,5,4,11,<10,2,.,7,600361
600,362,Charlotte-Mecklenburg Schools,David Cox Road Elementary,8,5,3,.,5,2,.,1,.,.,600362
600,365,Charlotte-Mecklenburg Schools,Devonshire Elementary,1,1,.,.,.,1,.,.,.,.,600365
600,366,Charlotte-Mecklenburg Schools,Marie G Davis,1,.,1,.,1,.,.,.,.,.,600366
600,377,Charlotte-Mecklenburg Schools,East Mecklenburg High,62,25,37,3,14,41,.,.,.,4,600377
600,381,Charlotte-Mecklenburg Schools,Eastway Middle,10,3,7,.,1,9,.,.,.,.,600381
600,394,Charlotte-Mecklenburg Schools,Francis Bradley Middle,4,.,4,.,1,2,.,.,.,1,600394
600,397,Charlotte-Mecklenburg Schools,Garinger High,157,41,116,5,29,117,.,1,.,5,600397
600,399,Charlotte-Mecklenburg Schools,Alexander Graham Middle,1,1,.,.,.,.,.,.,.,1,600399
600,404,Charlotte-Mecklenburg Schools,Harper Middle College High,1,1,.,.,1,.,.,.,.,.,600404
600,405,Charlotte-Mecklenburg Schools,Harding University High,80,28,52,.,31,47,.,.,.,2,600405
600,408,Charlotte-Mecklenburg Schools,Lawrence Orr Elementary,2,1,1,1,.,1,.,.,.,.,600408
600,412,Charlotte-Mecklenburg Schools,Hidden Valley Elementary,6,2,4,.,1,4,.,.,.,<10,600412
600,414,Charlotte-Mecklenburg Schools,Highland Renaissance Academy,2,1,1,.,2,.,.,.,.,.,600414
600,415,Charlotte-Mecklenburg Schools,Hopewell High,25,7,18,.,13,8,.,.,.,4,600415
600,422,Charlotte-Mecklenburg Schools,Huntingtowne Farms Elementary,4,2,2,.,.,3,.,.,.,1,600422
600,426,Charlotte-Mecklenburg Schools,Independence High,67,17,50,5,10,39,3,5,.,5,600426
600,429,Charlotte-Mecklenburg Schools,Governors Village STEM Academy (Upper),2,1,1,.,2,.,.,.,.,.,600429
600,437,Charlotte-Mecklenburg Schools,Ballantyne Elementary,1,.,1,.,1,.,.,.,.,.,600437
600,439,Charlotte-Mecklenburg Schools,Turning Point Academy,58,12,46,<10,43,11,.,2,.,<10,600439
600,443,Charlotte-Mecklenburg Schools,Levine Middle College High,1,.,1,.,1,.,.,.,.,.,600443
600,444,Charlotte-Mecklenburg Schools,Long Creek Elementary,3,1,2,.,3,.,.,.,.,.,600444
600,445,Charlotte-Mecklenburg Schools,Mallard Creek High,2,1,1,.,2,.,.,.,.,.,600445
600,448,Charlotte-Mecklenburg Schools,Martin Luther King Jr Middle,5,2,3,.,.,5,.,.,.,.,600448
600,450,Charlotte-Mecklenburg Schools,McClintock Middle,1,1,.,.,.,1,.,.,.,.,600450
600,455,Charlotte-Mecklenburg Schools,Mint Hill Middle,2,1,1,.,.,2,.,.,.,.,600455
600,457,Charlotte-Mecklenburg Schools,Rocky River High,27,7,20,.,7,18,.,1,.,1,600457
600,459,Charlotte-Mecklenburg Schools,Montclaire Elementary,1,1,.,.,.,1,.,.,.,.,600459
600,461,Charlotte-Mecklenburg Schools,Charlotte-Mecklenburg  Academy,6,1,5,.,6,.,.,.,.,.,600461
600,466,Charlotte-Mecklenburg Schools,Myers Park High,100,32,68,2,26,56,.,.,.,16,600466
600,468,Charlotte-Mecklenburg Schools,Governors Village STEM Academy (Lower),1,.,1,1,.,.,.,.,.,.,600468
600,471,Charlotte-Mecklenburg Schools,Nations Ford Elementary,5,.,5,.,1,4,.,.,.,.,600471
600,474,Charlotte-Mecklenburg Schools,Newell Elementary,1,.,1,.,.,1,.,.,.,.,600474
600,481,Charlotte-Mecklenburg Schools,Northridge Middle,2,.,2,.,2,.,.,.,.,.,600481
600,482,Charlotte-Mecklenburg Schools,Northwest School of the Arts,1,.,1,.,1,.,.,.,.,.,600482
600,484,Charlotte-Mecklenburg Schools,Oakhurst STEAM Academy,1,.,1,.,1,.,.,.,.,.,600484
600,489,Charlotte-Mecklenburg Schools,Bruns Avenue Elementary,2,.,2,.,1,1,.,.,.,.,600489
600,490,Charlotte-Mecklenburg Schools,Olympic High,52,10,42,1,16,30,.,2,.,3,600490
600,496,Charlotte-Mecklenburg Schools,Phillip O Berry Academy of Technology,3,.,3,.,3,.,.,.,.,.,600496
600,498,Charlotte-Mecklenburg Schools,Performance Learning Center,4,2,2,.,3,.,.,.,.,1,600498
600,499,Charlotte-Mecklenburg Schools,Charlotte-Mecklenburg Virtual HS,17,11,6,.,5,3,.,1,.,8,600499
600,500,Charlotte-Mecklenburg Schools,Pineville Elementary,1,1,.,.,.,1,.,.,.,.,600500
600,508,Charlotte-Mecklenburg Schools,Providence High,1,1,.,.,.,.,.,.,.,1,600508
600,509,Charlotte-Mecklenburg Schools,Quail Hollow Middle,9,6,3,.,.,8,.,.,.,1,600509
600,514,Charlotte-Mecklenburg Schools,Ranson Middle,5,.,5,.,4,1,.,.,.,.,600514
600,515,Charlotte-Mecklenburg Schools,Renaissance West STEAM Academy,6,3,3,.,5,.,.,.,.,<10,600515
600,516,Charlotte-Mecklenburg Schools,Reedy Creek Elementary,2,2,.,.,.,2,.,.,.,.,600516
600,520,Charlotte-Mecklenburg Schools,Sedgefield Middle,21,7,14,.,2,18,.,.,.,1,600520
600,534,Charlotte-Mecklenburg Schools,Smithfield Elementary,2,1,1,.,.,1,.,.,.,1,600534
600,535,Charlotte-Mecklenburg Schools,South Mecklenburg High,41,14,27,.,5,33,.,.,.,3,600535
600,550,Charlotte-Mecklenburg Schools,Sterling Elementary,1,1,.,.,.,1,.,.,.,.,600550
600,553,Charlotte-Mecklenburg Schools,Thomasboro Academy,11,7,4,.,9,.,.,2,.,.,600553
600,557,Charlotte-Mecklenburg Schools,Torrence Creek Elementary,1,.,1,.,1,.,.,.,.,.,600557
600,565,Charlotte-Mecklenburg Schools,University Park Creative Arts,3,.,3,.,1,1,.,1,.,.,600565
600,566,Charlotte-Mecklenburg Schools,University Meadows Elementary,1,1,.,1,.,.,.,.,.,.,600566
600,576,Charlotte-Mecklenburg Schools,West Charlotte High,55,16,39,.,38,15,.,2,.,.,600576
600,577,Charlotte-Mecklenburg Schools,Westerly Hills Academy,4,2,2,.,3,.,.,.,.,1,600577
600,579,Charlotte-Mecklenburg Schools,West Mecklenburg High,72,17,55,1,24,36,.,5,.,6,600579
600,583,Charlotte-Mecklenburg Schools,Wilson STEM Academy,7,3,4,.,5,2,.,.,.,.,600583
600,586,Charlotte-Mecklenburg Schools,Winding Springs Elementary,1,.,1,.,.,1,.,.,.,.,600586
600,587,Charlotte-Mecklenburg Schools,Windsor Park Elementary,2,1,1,.,.,1,.,.,.,1,600587
600,588,Charlotte-Mecklenburg Schools,Winget Park Elementary,1,1,.,.,1,.,.,.,.,.,600588
600,589,Charlotte-Mecklenburg Schools,Winterfield Elementary,4,3,1,1,.,3,.,.,.,.,600589
600,590,Charlotte-Mecklenburg Schools,River Gate Elementary,4,2,2,.,2,.,.,.,.,2,600590
600,592,Charlotte-Mecklenburg Schools,Vance High,76,30,46,1,28,43,.,.,.,4,600592
60K,LEA,Charlotte Secondary School,LEA Totals,1,.,1,.,1,.,.,.,.,.,60KLEA
60U,LEA,Commonwealth High School,LEA Totals,32,15,17,<10,14,8,.,5,.,4,60ULEA
61L,LEA,Stewart Creek High School,LEA Totals,153,65,88,<10,91,45,.,8,.,<10,61LLEA
61R,LEA,Matthews-Mint Hill Charter Academy,LEA Totals,1,1,.,.,1,.,.,.,.,.,61RLEA
61X,LEA,Mountain Island Day School,LEA Totals,1,1,.,.,.,1,.,.,.,.,61XLEA
620,LEA,Montgomery County Schools,LEA Totals,1,.,1,.,1,.,.,.,.,.,620LEA
620,310,Montgomery County Schools,Montgomery Learning Academy,1,.,1,.,<10,.,.,.,.,.,620310
